iter	RMSE
0	74035.59117
1	69398.12172
2	65333.68746
3	61236.14448
4	57873.90825
5	54702.28753
6	51768.58399
7	48924.9407
8	46712.51422
9	44940.46929
10	42957.99704
11	41250.8086
12	39582.13536
13	38220.25743
14	36904.61304
15	35620.27797
16	34362.91685
17	33228.31098
18	32265.51011
19	31312.16618
20	30477.9683
21	29597.21397
22	28908.08022
23	28268.95243
24	27708.24924
25	27163.46279
26	26613.31474
27	26122.3063
28	25768.46532
29	25188.44517
30	24775.26297
31	24402.67595
32	24110.47833
33	23685.26547
34	23357.08954
35	23111.67125
36	22859.10665
37	22549.40296
38	22319.19584
39	22066.40865
40	21821.80515
41	21650.14927
42	21482.24205
43	21282.19763
44	21077.19811
45	20844.95334
46	20739.65317
47	20568.40183
48	20440.4233
49	20322.9245
50	20199.57606
51	20051.21135
52	19993.69843
53	19888.73133
54	19687.13459
55	19517.91001
56	19411.77135
57	19316.63666
58	19207.07613
59	19094.5032
60	19019.19774
61	18957.31631
62	18796.02434
63	18702.62863
64	18634.11354
65	18552.74281
66	18449.51247
67	18358.30657
68	18246.90761
69	18138.42239
70	18016.12991
71	17898.55409
72	17775.30524
73	17713.64742
74	17601.48426
75	17489.29965
76	17418.67378
77	17301.48367
78	17240.03714
79	17183.96348
80	17136.44004
81	17023.63627
82	16960.70856
83	16874.24474
84	16820.52799
85	16753.22986
86	16666.32431
87	16616.26231
88	16577.6815
89	16536.78952
90	16508.33495
91	16379.06131
92	16274.16444
93	16245.92447
94	16211.84479
95	16156.62899
96	16121.19265
97	16100.24051
98	16068.72773
99	15947.45528
100	15826.4907
101	15739.37953
102	15648.43024
103	15504.05279
104	15370.70042
105	15276.28599
106	15241.24136
107	15124.38962
108	15042.96603
109	14975.05634
110	14959.36657
111	14884.43551
112	14824.62977
113	14809.6566
114	14786.6869
115	14726.26057
116	14672.41552
117	14610.73524
118	14573.4256
119	14511.70167
120	14433.89348
121	14340.57087
122	14303.93028
123	14253.09644
124	14178.78162
125	14106.43463
126	14038.28253
127	13992.46479
128	13926.24661
129	13875.65634
130	13797.26478
131	13717.85552
132	13673.99031
133	13612.16744
134	13546.44555
135	13501.06581
136	13438.88307
137	13410.40819
138	13339.50192
139	13286.76124
140	13255.54518
141	13218.17726
142	13185.95453
143	13136.35838
144	13086.82402
145	13052.71927
146	13012.2581
147	12970.9458
148	12897.61978
149	12829.88296
150	12805.22929
151	12711.74546
152	12659.98194
153	12604.55094
154	12532.74105
155	12490.79136
156	12426.14194
157	12379.07654
158	12358.08645
159	12322.84841
160	12271.49798
161	12212.03294
162	12178.72043
163	12125.65374
164	12085.63223
165	12049.77805
166	12033.95588
167	12024.00509
168	11977.98152
169	11905.19312
170	11860.03475
171	11811.58188
172	11751.55686
173	11714.23139
174	11679.26082
175	11673.90308
176	11634.21039
177	11577.76402
178	11572.5192
179	11520.52425
180	11483.22569
181	11442.20645
182	11396.25285
183	11391.36246
184	11350.38205
185	11309.44075
186	11303.37619
187	11286.25989
188	11251.00123
189	11194.9698
190	11190.64121
191	11144.34891
192	11092.10346
193	11088.42224
194	11038.01444
195	10998.33989
196	10967.68782
197	10951.56923
198	10926.79867
199	10884.2379
200	10851.64919
201	10849.0693
202	10813.26193
203	10786.12143
204	10755.43698
205	10706.13707
206	10679.12723
207	10624.56358
208	10579.40835
209	10547.21571
210	10505.32364
211	10464.65575
212	10424.30854
213	10398.908
214	10396.63265
215	10357.74218
216	10318.89371
217	10287.78785
218	10247.86052
219	10214.70653
220	10176.01988
221	10146.26231
222	10115.77383
223	10086.0467
224	10083.83887
225	10053.46686
226	10030.91037
227	10001.46491
228	9977.207523
229	9960.193349
230	9941.229607
231	9918.269859
232	9892.728963
233	9873.932235
234	9837.880883
235	9803.381878
236	9753.935752
237	9726.865216
238	9713.553098
239	9690.187995
240	9667.984319
241	9642.800675
242	9610.756406
243	9608.787632
244	9584.722981
245	9559.998143
246	9536.906529
247	9508.963318
248	9475.961196
249	9460.812122
250	9447.85744
251	9419.331235
252	9395.155172
253	9376.842679
254	9355.479804
255	9320.062801
256	9265.571522
257	9230.680038
258	9218.575971
259	9193.631025
260	9182.60593
261	9146.72719
262	9143.62096
263	9132.286764
264	9104.877369
265	9054.630528
266	9022.278022
267	8975.964183
268	8972.310932
269	8943.328649
270	8909.644682
271	8903.766096
272	8857.854036
273	8830.28454
274	8828.58234
275	8806.100643
276	8782.429824
277	8762.893878
278	8738.659372
279	8710.270552
280	8672.336596
281	8644.579775
282	8621.876429
283	8575.120957
284	8539.598715
285	8519.678677
286	8494.78268
287	8465.316277
288	8433.266303
289	8405.103313
290	8387.354196
291	8360.666742
292	8325.763091
293	8309.122636
294	8273.965502
295	8240.158166
296	8227.26922
297	8219.509434
298	8188.425125
299	8176.749275
